"municipio","area_territorial","populacao","densidade_demografica","populacao_estimada","escolarizacao","idhm","mortalidade_infantil","receitas_brutas","despesas_brutas","pib_per_capita"
"Abadia dos Dourados",880.461,6272,7.12,6345,98.28,0.689,NA,54056251.12,47058562.8,30356.59
"Abaeté",1817.067,22675,12.48,23173,99.09,0.698,4.48,171110172.9,164326914.45,28311.84
"Abre Campo",470.551,13927,29.6,14354,96.21,0.654,12.2,79952087.52,66949825.34,23803.57
"Acaiaca",101.886,3909,38.37,3998,99.3,0.63,20,34605138.82,28148613.95,21761.55
"Açucena",815.422,8943,10.97,8926,98.92,0.61,23.53,48102705.27,42314545.76,19243.4
"Água Boa",1320.344,12589,9.53,12391,95.9,0.576,14.18,78270812.01,73654670.62,18700.62
"Água Comprida",492.167,2108,4.28,2171,100,0.675,NA,40914973.28,37046615.99,156992.53
"Aguanil",232.091,4357,18.77,4509,100,0.663,NA,46138791.87,36531077.57,25589.54
"Águas Formosas",820.079,18448,22.5,18850,98.78,0.645,NA,102014269.3,93128253.95,19667.48
"Águas Vermelhas",1256.607,14037,11.17,14567,99.81,0.601,19.74,80668792.63,75527062.4,19832.58
"Aimorés",1348.913,25269,18.73,26212,97.93,0.684,9.52,128304067.38,129716285.3,31397.2
"Aiuruoca",649.68,6233,9.59,6389,95.88,0.668,NA,45581389.67,40086036.58,24774.89
"Alagoa",161.356,2749,17.04,2820,100,0.649,35.71,35688909.15,36532988.33,23222.87
"Albertina",58.01,2952,50.89,3027,98.76,0.673,NA,42423792.91,36913245.24,30794.8
"Além Paraíba",510.25,30717,60.2,31159,98.92,0.726,16.53,171904347.43,159669441.33,34044.96
"Alfenas",850.446,78970,92.86,82303,97.23,0.761,6.72,558297532.37,573714655.19,46472.06
"Alfredo Vasconcelos",130.815,6931,52.98,7236,99.53,0.675,NA,48961263.93,45694490.3,25532.28
"Almenara",2294.426,40364,17.59,42019,98.34,0.642,15.15,210886904.01,197177968.27,20164.42
"Alpercata",166.972,6903,41.34,7019,100,0.646,12.99,45137681.44,47677612.75,16365.79
"Alpinópolis",460.685,18300,39.72,18673,99.39,0.725,21.19,101762814.56,87685763.24,33804.26
"Alterosa",362.01,13915,38.44,14272,98.43,0.668,20.27,76980637.52,70682868.14,23877.52
"Alto Caparaó",103.69,5795,55.89,6014,98.33,0.661,12.05,42178818.71,40873170.17,22722.7
"Alto Rio Doce",518.053,10891,21.02,10931,99.07,0.62,NA,59922005.16,51975124.15,20466.16
"Alvarenga",295.691,3975,14.29,3983,100,0.592,NA,36585851.31,31485232.47,16336.88
"Alvinópolis",599.443,15059,25.12,15358,97.97,0.676,NA,79981472.64,82745353.6,26729.08
"Alvorada de Minas",374.008,4159,11.12,4359,98.77,0.572,NA,127001583.97,120996054.5,22844.17
"Amparo do Serra",136.186,4541,33.34,4574,98.09,0.641,23.81,36199874.31,29641298.74,15766.86
"Andradas",469.396,40553,86.39,42501,99.45,0.734,4.3,222905075.48,202354053.05,36575.48
"Cachoeira de Pajeú",695.672,9110,13.1,9347,99.68,0.578,14.71,44640314.88,43082990.88,16075.2
"Andrelândia",1005.285,11927,11.86,12163,99.03,0.7,17.86,78585678.17,74849699.47,28572.34
"Angelândia",185.211,7718,41.67,7849,99.48,0.597,28.85,48259373.73,45519340.18,25117.02
"Antônio Carlos",529.915,11095,20.94,11350,100,0.683,10.1,58787786.75,53580498.03,37194.79
"Antônio Dias",787.061,9219,11.71,9375,99.63,0.645,12.99,104497819.9,99717744.94,58081.25
"Antônio Prado de Minas",83.802,1538,18.35,1552,100,0.684,NA,25622277.27,24469837.39,23271.88
"Araçaí",187.53,2181,11.63,2222,100,0.695,55.56,33168883.45,30885076.57,34713
"Aracitaba",106.608,2049,19.22,2095,97.06,0.661,52.63,30547699.2,26042337.41,19602.76
"Araçuaí",2236.279,34297,15.34,35185,99.77,0.663,2.69,181105762.78,175397151.55,31544.84
"Araguari",2729.777,117808,43.16,123432,97.29,0.773,10.23,827921368.3,834716390.01,58217.9
"Arantina",89.42,2915,32.6,2998,99.21,0.697,93.75,38402679.06,30580498.19,26663.02
"Araponga",303.793,8048,26.49,8218,97.55,0.536,9.52,51581748.73,46285127.93,17815.27
"Araporã",294.354,8479,28.81,9069,99.8,0.708,13.42,108278751.7,105184083.73,142592.92
"Arapuá",173.894,2631,15.13,2668,96.85,0.724,NA,35288581.87,32518744.14,94826.06
"Araújos",245.522,9199,37.47,9634,97.88,0.698,18.69,54593562.36,49038093.14,50543.25
"Araxá",1164.062,111691,95.95,118786,99.62,0.772,5.43,831812552.32,798627387.33,79211.75
"Arceburgo",162.875,9177,56.34,9335,99.49,0.683,28.17,69143215.4,61822941.74,50160.08
"Arcos",509.873,41416,81.23,43653,99.95,0.749,13.7,236089448.99,229511553.26,73837
"Areado",283.124,13881,49.03,14229,99.1,0.727,16.26,81656817.97,69022916.42,27379.57
"Argirita",159.378,2688,16.87,2715,100,0.643,NA,35541075.15,34123927.92,19111.57
"Aricanduva",243.329,4719,19.39,4820,99.53,0.582,NA,41375251.59,40815036.23,18311.05
"Arinos",5279.419,17272,3.27,17586,99.23,0.656,11.95,139157257.9,129270037.86,31528.95
"Astolfo Dutra",158.891,14138,88.98,14633,99.64,0.694,8.77,73506299.86,68390795.74,32077.78
